FID IID FA MO SEX AFF PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10
HG00330 HG00330 0 0 0 1 -0.0115 0.0244 0.0122 0.0173 0.0207 -0.0666 0.0026 0.0086 -0.0006 -0.0340
HG00331 HG00331 0 0 0 1 -0.0107 0.0240 0.0118 0.0161 0.0237 -0.0675 0.0083 0.0087 -0.0049 -0.0061
HG00332 HG00332 0 0 0 1 -0.0116 0.0242 0.0089 0.0141 0.0101 -0.0662 0.0016 0.0100 0.0218 -0.0175
HG00334 HG00334 0 0 0 1 -0.0111 0.0245 0.0120 0.0171 0.0166 -0.0659 0.0033 0.0083 0.0007 -0.0083
HG00335 HG00335 0 0 0 1 -0.0111 0.0238 0.0142 0.0208 0.0145 -0.0702 0.0078 0.0173 0.0072 -0.0045
HG00336 HG00336 0 0 0 1 -0.0111 0.0241 0.0111 0.0171 0.0216 -0.0779 0.0133 0.0023 0.0170 -0.0264
HG00337 HG00337 0 0 0 1 -0.0110 0.0248 0.0140 0.0194 0.0137 -0.0622 0.0026 0.0154 0.0005 0.0090
HG00338 HG00338 0 0 0 1 -0.0109 0.0241 0.0097 0.0141 0.0170 -0.0778 0.0003 0.0071 0.0028 -0.0167
HG00339 HG00339 0 0 0 1 -0.0125 0.0230 0.0130 0.0148 0.0181 -0.0706 0.0071 0.0132 -0.0028 -0.0270
HG00341 HG00341 0 0 0 1 -0.0110 0.0247 0.0061 0.0137 0.0210 -0.0474 0.0007 0.0002 0.0011 -0.0064
HG00342 HG00342 0 0 0 1 -0.0118 0.0222 0.0118 0.0179 0.0188 -0.0868 0.0007 0.0133 -0.0006 -0.0147
HG00343 HG00343 0 0 0 1 -0.0117 0.0233 0.0097 0.0193 0.0257 -0.0820 0.0139 0.0221 0.0169 -0.0210
HG00344 HG00344 0 0 0 1 -0.0125 0.0264 0.0099 0.0176 0.0109 -0.0340 0.0075 0.0128 0.0020 0.0075
HG00345 HG00345 0 0 0 1 -0.0118 0.0239 0.0101 0.0155 0.0168 -0.0807 0.0151 0.0034 0.0004 -0.0202
HG00346 HG00346 0 0 0 1 -0.0119 0.0247 0.0142 0.0160 0.0189 -0.0703 0.0083 0.0061 0.0122 -0.0178
HG00349 HG00349 0 0 0 1 -0.0116 0.0234 0.0093 0.0173 0.0235 -0.0735 0.0117 0.0056 -0.0015 -0.0216
HG00350 HG00350 0 0 0 1 -0.0113 0.0244 0.0116 0.0172 0.0086 -0.0514 0.0023 0.0097 -0.0066 0.0148
HG00351 HG00351 0 0 0 1 -0.0110 0.0238 0.0138 0.0182 0.0185 -0.0806 -0.0042 -0.0026 0.0080 -0.0282
HG00353 HG00353 0 0 0 1 -0.0119 0.0237 0.0098 0.0183 0.0143 -0.0752 0.0000 0.0050 0.0012 -0.0330
HG00355 HG00355 0 0 0 1 -0.0110 0.0252 0.0145 0.0172 0.0231 -0.0643 -0.0008 0.0058 0.0121 -0.0562
HG00356 HG00356 0 0 0 1 -0.0117 0.0237 0.0124 0.0152 0.0214 -0.0725 -0.0025 0.0053 0.0017 -0.0199
HG00357 HG00357 0 0 0 1 -0.0117 0.0252 0.0148 0.0164 0.0207 -0.0661 0.0046 0.0105 0.0154 -0.0232
HG00358 HG00358 0 0 0 1 -0.0115 0.0222 0.0112 0.0161 0.0278 -0.0975 0.0135 0.0218 0.0003 -0.0323
HG00360 HG00360 0 0 0 1 -0.0117 0.0247 0.0093 0.0178 0.0226 -0.0720 0.0046 0.0056 0.0097 -0.0250
HG00361 HG00361 0 0 0 1 -0.0125 0.0224 0.0098 0.0150 0.0244 -0.0907 0.0132 0.0020 0.0077 -0.0559
HG00362 HG00362 0 0 0 1 -0.0120 0.0228 0.0102 0.0170 0.0139 -0.0754 0.0036 0.0107 -0.0100 0.0081
HG00364 HG00364 0 0 0 1 -0.0119 0.0231 0.0139 0.0176 0.0141 -0.0664 0.0055 0.0093 0.0043 -0.0402
HG00365 HG00365 0 0 0 1 -0.0120 0.0230 0.0125 0.0151 0.0148 -0.0851 0.0047 0.0086 0.0128 -0.0320
