FID IID FA MO SEX AFF PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10
HG00254 HG00254 0 0 0 1 0.0105 -0.0275 0.0097 0.0192 0.0033 -0.0050 -0.0001 0.0017 -0.0009 -0.0064
HG00255 HG00255 0 0 0 1 0.0109 -0.0275 0.0099 0.0194 0.0029 -0.0083 -0.0000 0.0047 -0.0041 -0.0108
HG00256 HG00256 0 0 0 1 0.0112 -0.0279 0.0089 0.0198 -0.0028 -0.0114 -0.0026 0.0003 -0.0007 -0.0154
HG00257 HG00257 0 0 0 1 0.0107 -0.0276 0.0100 0.0181 -0.0035 -0.0107 -0.0022 0.0017 -0.0020 -0.0089
HG00258 HG00258 0 0 0 1 0.0110 -0.0274 0.0107 0.0201 0.0014 -0.0097 0.0013 0.0016 -0.0074 -0.0069
HG00259 HG00259 0 0 0 1 0.0109 -0.0277 0.0096 0.0198 -0.0005 -0.0048 0.0031 0.0027 -0.0091 -0.0142
HG00260 HG00260 0 0 0 1 0.0111 -0.0280 0.0111 0.0193 0.0011 -0.0146 0.0012 -0.0004 -0.0060 0.0021
HG00261 HG00261 0 0 0 1 0.0109 -0.0277 0.0098 0.0204 0.0011 -0.0031 0.0038 0.0012 -0.0010 -0.0098
HG00262 HG00262 0 0 0 1 0.0113 -0.0276 0.0087 0.0182 0.0031 -0.0119 0.0037 0.0048 -0.0119 -0.0075
HG00263 HG00263 0 0 0 1 0.0112 -0.0281 0.0091 0.0193 0.0011 -0.0043 0.0014 0.0045 0.0059 -0.0176
HG00264 HG00264 0 0 0 1 0.0108 -0.0275 0.0111 0.0176 0.0016 -0.0112 -0.0011 0.0025 0.0049 -0.0100
HG00265 HG00265 0 0 0 1 0.0112 -0.0286 0.0103 0.0199 0.0009 -0.0101 -0.0000 0.0027 -0.0095 -0.0151
HG00266 HG00266 0 0 0 1 0.0114 -0.0233 0.0105 0.0175 -0.0156 -0.0791 0.0039 -0.0154 0.0090 -0.0029
HG00267 HG00267 0 0 0 1 0.0119 -0.0231 0.0094 0.0177 -0.0204 -0.0865 0.0005 -0.0122 0.0091 0.0070
HG00268 HG00268 0 0 0 1 0.0115 -0.0242 0.0101 0.0183 -0.0122 -0.0695 0.0028 -0.0065 -0.0022 0.0053
HG00269 HG00269 0 0 0 1 0.0117 -0.0236 0.0104 0.0158 -0.0175 -0.0925 0.0040 -0.0114 0.0063 0.0188
HG00271 HG00271 0 0 0 1 0.0118 -0.0223 0.0095 0.0173 -0.0216 -0.0962 0.0044 -0.0100 0.0144 0.0168
HG00272 HG00272 0 0 0 1 0.0116 -0.0225 0.0092 0.0159 -0.0159 -0.0927 0.0017 -0.0090 0.0157 0.0010
HG00273 HG00273 0 0 0 1 0.0118 -0.0238 0.0104 0.0183 -0.0169 -0.0674 0.0003 -0.0057 0.0004 -0.0011
HG00274 HG00274 0 0 0 1 0.0119 -0.0248 0.0115 0.0179 -0.0169 -0.0749 0.0022 -0.0061 0.0006 0.0110
HG00275 HG00275 0 0 0 1 0.0115 -0.0248 0.0103 0.0197 -0.0131 -0.0659 0.0029 -0.0022 0.0189 0.0133
HG00276 HG00276 0 0 0 1 0.0115 -0.0235 0.0116 0.0156 -0.0196 -0.0828 0.0036 -0.0129 0.0169 0.0043
HG00277 HG00277 0 0 0 1 0.0117 -0.0252 0.0097 0.0175 -0.0119 -0.0563 -0.0003 -0.0027 0.0003 0.0049
HG00278 HG00278 0 0 0 1 0.0116 -0.0237 0.0104 0.0157 -0.0175 -0.0869 0.0082 -0.0099 0.0101 0.0186
HG00280 HG00280 0 0 0 1 0.0117 -0.0237 0.0109 0.0168 -0.0173 -0.0802 0.0028 -0.0082 0.0078 0.0066
HG00281 HG00281 0 0 0 1 0.0122 -0.0234 0.0120 0.0161 -0.0154 -0.0772 0.0027 -0.0070 0.0050 0.0032
